timestamp,attention,meditation,delta,theta,alpha,beta,gamma,label
1748861853.7691877,78,75,695,3739,5381,2693,817,relaxado
1748861854.765829,67,75,1644,2311,3868,2840,1241,relaxado
1748861855.7958336,70,75,4210,3236,3540,3117,2474,relaxado
1748861856.7524042,64,78,27828,11610,9786,4686,1073,relaxado
1748861857.7747178,53,63,122221,24484,6627,3035,2192,relaxado
1748861858.742195,35,44,25656,27438,5712,7214,1225,relaxado
1748861859.743538,29,48,13006,11090,9748,3285,3126,relaxado
1748861860.7423775,37,50,22515,9032,9911,4107,1547,relaxado
1748861861.738365,56,41,504593,106562,16355,54158,7367,relaxado
1748861863.7386498,74,75,992,2462,16306,3401,1940,relaxado
1748861864.7971191,60,74,8592,8288,8127,3131,1842,relaxado
1748861865.7634962,50,100,11581,9767,37441,8178,3637,relaxado
1748861866.7579315,48,100,3937,2284,11280,2654,1487,relaxado
1748861867.7527623,48,100,1526,1432,7568,2172,1102,relaxado
1748861868.7523246,56,97,6660,4135,1174,1560,824,relaxado
1748861869.749536,69,81,1644,1936,2453,4097,1558,relaxado
1748861870.7786777,60,50,129986,34450,5448,4616,1336,relaxado
1748861871.740677,66,27,3331,4242,1867,2255,1358,relaxado
1748861872.7755067,74,43,3909,5747,7489,3967,1045,relaxado
1748861873.7718072,64,44,14426,7014,4916,2599,802,relaxado
1748861876.7625449,47,90,32048,12418,13979,3074,3623,relaxado
1748861877.7569165,38,90,22537,12644,8322,3119,2722,relaxado
1748861878.7530043,44,88,6260,5724,6808,3386,2194,relaxado
1748861879.7536044,43,78,3170,8537,9379,2445,1228,relaxado
1748861880.7760694,47,77,35607,46985,43360,9650,6690,relaxado
1748861881.7403152,64,80,1970,1613,3253,2751,1093,relaxado
1748861883.7625105,53,67,30323,15106,13437,3075,2596,relaxado
1748861884.7548733,64,67,1645,3352,6921,4949,1684,relaxado
1748861885.7525086,56,69,2444,1431,3844,3847,936,relaxado
1748861886.7502701,61,93,817,3543,23491,5577,997,relaxado
1748861887.7748914,74,96,13663,6283,10978,3426,965,relaxado
1748861888.7423594,57,100,508,2179,24267,2208,660,relaxado
1748861889.7365148,48,100,6443,5894,7117,2362,713,relaxado
1748861890.760272,40,84,3186,10697,8333,5104,886,relaxado
1748861891.759465,38,54,571624,35125,2875,5507,5252,relaxado
1748861892.7529938,51,38,1157,4371,6582,2776,1449,relaxado
1748861893.7556477,51,34,2208,4222,3738,3491,919,relaxado
1748861894.7556643,54,37,643,5939,7081,2857,1279,relaxado
1748861895.7528338,63,53,2072,2278,2308,2905,1224,relaxado
1748861896.783747,53,38,28490,19668,3958,3267,781,relaxado
1748861897.7749076,66,43,1486,3385,5513,3400,1140,relaxado
1748861898.7704375,61,60,2898,1816,19356,2651,1693,relaxado
1748861899.7361956,67,66,246,1458,4633,3510,1489,relaxado
1748861900.7644563,77,75,34804,40533,21177,11792,4720,relaxado
1748861901.75965,78,74,29487,6285,8143,5828,1063,relaxado
1748861902.758664,90,63,2147,1823,8758,4319,1362,relaxado
1748861903.748553,75,61,1340,3879,4216,1966,1938,relaxado
1748861904.739801,77,67,2972,5587,7525,3563,1226,relaxado
1748861905.7376785,66,69,1905,7472,11148,4177,2201,relaxado
1748861906.760821,63,74,3758,2328,13058,3323,1310,relaxado
1748861907.7646818,63,70,1182,5915,6345,3097,1496,relaxado
1748861908.755456,63,67,591,12247,11408,6819,1745,relaxado
1748861909.7512803,75,63,2993,6630,5313,5175,2002,relaxado
